"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Steven Adams","Hou","*","C","32.6","32","22.8","12","20.1","81","0.58","139","0.504","0","0","0.504","0.535","5.8","8.6","1.5","0.7","0.6","1.1","14.5","7.3","16","7.4","124.8","108"
"","Ryan Dunn","Pho","*","F","23.2","58","19.4","13.9","13.3","40","0.5","163","0.528","143","0.322","0.507","0.51","5.7","4.1","1.4","0.8","0.4","0.8","9.8","7.1","11.2","6.6","111","106.4"
"","Thomas Bryant","Cle","*","C-F","28.6","48","11","19.2","8.7","53","0.868","96","0.625","104","0.337","0.563","0.607","5.6","3","0.6","0.3","0.5","0.4","8.7","6.3","9.3","7.9","126.6","105.6"
"","Spencer Jones","Den","*","F","24.7","54","22.6","9.7","10.7","47","0.617","96","0.625","129","0.395","0.607","0.615","5.6","3.2","0.8","0.8","0.4","0.5","8.8","6.4","9.6","4.3","126.6","108.1"
"","Keon Ellis","Sac","","G","26.2","43","17.6","13.7","9.1","32","0.625","65","0.462","144","0.368","0.524","0.536","5.6","1.3","0.6","1.1","0.5","0.5","6.8","6.2","7.4","3.7","106","115.7"
"","Eric Gordon","Phi","*","G","37.2","6","12.3","14.3","12.4","2","0.5","7","0.571","14","0.571","0.762","0.754","5.5","0.3","0.5","0.7","0.2","0.5","5.8","6","6.3","3.1","130.2","118.6"
"","Blake Wesley","Por","*","G","23","21","13.9","19.1","20.3","33","0.545","68","0.5","30","0.333","0.5","0.515","5.5","1.4","2.5","0.8","0.1","1.2","6.9","8","9.4","7.7","105.6","110.4"
"","Yves Missi","Nor","*","C","21.8","54","18.7","12.8","14.8","75","0.56","235","0.545","1","0","0.542","0.554","5.5","5.5","1.1","0.3","1.4","0.8","11.1","6.6","12.2","6.9","124.6","113.7"
"","Sion James","Cha","*","G","23.3","67","23.2","10.7","16","93","0.839","114","0.386","184","0.364","0.485","0.541","5.5","3.5","2","0.6","0.3","0.9","9","7.4","10.9","5.8","116.1","110.5"
"","Jevon Carter","Chi","","G","30.5","23","11.1","19.6","9.6","10","1","25","0.36","78","0.41","0.553","0.577","5.4","1.1","0.8","0.6","0.1","0.5","6.5","6.2","7.3","6.1","111.3","113.7"
"","Karlo Matkovic","Nor","*","F-C","25","53","13.9","12.9","13.5","34","0.765","116","0.724","69","0.449","0.705","0.718","5.4","3.5","0.8","0.4","0.9","0.5","8.9","6.3","9.8","7.1","137.7","108.7"
"","Aaron Holiday","Hou","*","G","29.4","43","13","17.9","11.2","37","0.865","72","0.458","125","0.36","0.51","0.546","5.4","0.9","0.9","0.5","0.1","0.6","6.3","6.3","7.2","5","114.5","108.7"
"","Dylan Cardwell","Sac","*","C","24.2","29","21.2","10.6","17.6","40","0.55","111","0.604","1","0","0.598","0.602","5.4","7.7","1.2","0.8","1.6","0.8","13.1","6.6","14.3","6.9","131.4","102.7"
"","Taurean Prince","Mil","*","F","32","9","20.8","11.4","10.5","3","1","11","0.455","31","0.387","0.548","0.566","5.4","1.8","0.9","0.7","0.2","0.6","7.2","6.3","8.1","4","106.2","112"
"","Jalen Pickett","Den","*","G","26.4","43","16.9","14.3","12.8","13","0.923","91","0.473","113","0.381","0.527","0.541","5.3","2.5","2.4","0.3","0.1","0.7","7.7","7.7","10.1","7.5","115.6","115.8"
"","Jordan Walsh","Bos","*","G","22","57","17.3","11.9","12.8","48","0.75","122","0.615","95","0.4","0.608","0.63","5.3","4.1","0.7","0.7","0.4","0.6","9.4","6","10.1","5.7","130.4","101.8"
"","Marcus Sasser","Det","*","G","25.5","23","11.2","18.7","15.4","13","0.923","35","0.457","58","0.431","0.575","0.603","5.2","1","1.8","0.8","0.1","0.7","6.2","7","8","7.5","119.9","106.8"
